Name	Save Daddy â€“ Pull the Pin Game
Address	/store/apps/details?id=com.timuzgames.savedaddy
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:51	4.4	284	100	10	4	3	11
2020.11.19 5:21	4.6	602	100	2	2	1	9
2020.11.19 6:21	4.6	602	100	2	2	0	8
2020.11.19 6:36	4.6	602	100	2	2	0	8
2020.11.19 7:36	4.6	602	100	2	3	0	8
2020.11.19 8:36	4.6	602	100	2	3	0	8
2020.11.19 9:37	4.6	603	100	2	3	0	8
2020.11.19 10:37	4.6	603	100	2	3	0	8
2020.11.19 11:37	4.6	603	100	2	3	0	8
2020.11.19 12:38	4.6	604	100	2	3	0	9
2020.11.19 13:38	4.5	607	100	2	4	0	10
2020.11.21 4:59	4.2	673	100	4	8	4	17
2020.11.21 4:59	4.2	673	100	4	8	4	17
2020.11.21 5:59	4.2	673	100	4	8	4	17
2020.11.21 7:0	4.2	674	100	4	9	4	17
2020.11.21 7:48	4.2	674	100	4	9	4	17
2020.11.21 8:48	4.2	675	100	4	9	4	17
2020.11.21 9:49	4.2	675	100	4	9	4	17
2020.11.21 10:49	4.2	675	100	4	9	4	17
2020.11.21 11:49	4.2	676	100	4	9	5	17
2020.11.21 12:50	4.2	676	100	4	9	5	17
2020.11.21 13:50	4.4	708	100	4	5	4	12
2020.11.22 2:56	4.4	701	100	3	5	6	11
2020.11.22 3:56	4.3	703	100	4	6	6	12
2020.11.22 4:57	4.3	705	100	4	7	6	13
2020.11.22 5:57	4.3	705	100	4	7	6	13
2020.11.22 6:57	4.3	706	100	4	7	6	13
2020.11.22 7:57	4.3	706	100	4	7	6	13
2020.11.22 8:58	4.3	706	100	4	7	6	13
2020.11.22 9:58	4.3	707	100	3	7	5	13
2020.11.22 10:58	4.3	708	100	3	7	5	14
2020.11.23 14:35	4.6	768	100	1	4	4	5
2020.11.23 15:35	4.6	770	100	1	4	4	6
2020.11.25 14:40	4.5	832	100	5	1	1	11
2020.11.26 13:5	4.3	862	100	11	4	2	16
2020.11.26 14:5	4.3	869	100	10	4	2	15
2020.11.26 15:6	4.3	871	100	10	4	2	16
2020.11.28 11:22	4.0	993	100	8	11	7	22
